 cookie=0x0, duration=20.878s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48197,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48198,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48199,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48200,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48201,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48202,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48203,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48204,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48205,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48206,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48207,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48208,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48209,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.868s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48210,tp_dst=0 actions=output:49
